"N" "g" "h" "rho" "alpha"
20 0 0 0 0.0705
20 0 0 0.5 0.0705
20 0 0 0.9 0.074
20 0 0.2 0 0.083
20 0 0.2 0.5 0.081
20 0 0.2 0.9 0.0755
20 0.2 0 0 0.0725
20 0.2 0 0.5 0.0685
20 0.2 0 0.9 0.067
20 0.2 0.2 0 0.085
20 0.2 0.2 0.5 0.08
20 0.2 0.2 0.9 0.0825
30 0 0 0 0.071
30 0 0 0.5 0.0615
30 0 0 0.9 0.0715
30 0 0.2 0 0.063
30 0 0.2 0.5 0.075
30 0 0.2 0.9 0.068
30 0.2 0 0 0.0695
30 0.2 0 0.5 0.0705
30 0.2 0 0.9 0.07
30 0.2 0.2 0 0.063
30 0.2 0.2 0.5 0.0745
30 0.2 0.2 0.9 0.07
40 0 0 0 0.0585
40 0 0 0.5 0.0625
40 0 0 0.9 0.059
40 0 0.2 0 0.0595
40 0 0.2 0.5 0.0655
40 0 0.2 0.9 0.073
40 0.2 0 0 0.064
40 0.2 0 0.5 0.0675
40 0.2 0 0.9 0.064
40 0.2 0.2 0 0.0705
40 0.2 0.2 0.5 0.059
40 0.2 0.2 0.9 0.0575
50 0 0 0 0.0545
50 0 0 0.5 0.063
50 0 0 0.9 0.0605
50 0 0.2 0 0.063
50 0 0.2 0.5 0.0625
50 0 0.2 0.9 0.0655
50 0.2 0 0 0.0575
50 0.2 0 0.5 0.058
50 0.2 0 0.9 0.0585
50 0.2 0.2 0 0.0675
50 0.2 0.2 0.5 0.0685
50 0.2 0.2 0.9 0.0595
60 0 0 0 0.0625
60 0 0 0.5 0.058
60 0 0 0.9 0.057
60 0 0.2 0 0.0685
60 0 0.2 0.5 0.0665
60 0 0.2 0.9 0.055
60 0.2 0 0 0.0615
60 0.2 0 0.5 0.06
60 0.2 0 0.9 0.0615
60 0.2 0.2 0 0.068
60 0.2 0.2 0.5 0.06
60 0.2 0.2 0.9 0.0655
70 0 0 0 0.0635
70 0 0 0.5 0.055
70 0 0 0.9 0.0555
70 0 0.2 0 0.0545
70 0 0.2 0.5 0.0605
70 0 0.2 0.9 0.0655
70 0.2 0 0 0.058
70 0.2 0 0.5 0.0515
70 0.2 0 0.9 0.061
70 0.2 0.2 0 0.0575
70 0.2 0.2 0.5 0.063
70 0.2 0.2 0.9 0.0535
