"","LDA","LDA + SOC","PBE","PBE + SOC","PBE_SOL","HLE16","HLE16 + SOC","BJ","mBJ","SCAN","HSE06","HSE14","HSE_mix","PBE0","PBE0_mix"
"1",0.4064,0.4262,0.337,0.3586,0.3658,-0.1104,-0.1073,0.184,-0.0102,0.1926,-0.8049,-1.3119,-2.1438,-1.079,-2.2202
"2",1.9379,1.9305,1.8543,1.8644,1.9371,1.0159,1.0219,1.4719,0.9069,1.6638,0.8998,0.5917,0.505,0.2513,0.1779
"3",1.3015,1.3817,1.1503,1.2288,1.274,-0.7954,-0.7524,0.4571,-0.5113,0.7736,-0.5265,-1.2616,-1.9773,-1.2367,-2.6903
"4",1.2883,1.1746,1.274,1.1768,1.3,0.5555,0.6766,0.9973,0.8339,1.0438,0.102,-0.2406,-0.6769,-0.5781,-1.216
"5",0.18,0.18,0.1354,0.1418,0.18,-0.5423,-0.5741,-0.3035,-0.7804,-0.1255,-1.0416,-1.4613,-1.896,-1.7145,-2.4534
"6",0.2065,0.226,0.1485,0.1735,0.1815,-0.2823,-0.3044,0.0343,-0.1904,-0.0349,-0.4854,-0.6403,-0.7165,-0.9297,-0.8008
"7",0.1391,0.1472,0.1483,0.1391,0.1431,0.1241,0.0698,0.1201,0.0973,0.144,0.145,0.1274,0.1306,0.1295,0.1278
"8",1.214,1.2179,1.0953,1.1098,1.1818,0.168,0.1762,0.8617,0.5633,0.877,0.2962,0.1374,0.0626000000000002,-0.3661,-0.1837
"9",1.1383,1.1442,1.018,1.0334,1.1085,0.0224,0.0564,0.7382,0.4431,0.7883,0.2491,0.0885,0.0452999999999999,-0.4013,-0.1765
"10",1.4,1.4,1.4,1.4,1.4,0.685,0.6824,1.1777,0.6754,1.273,0.3738,-0.2651,-0.6487,-0.2649,-1.1668
"11",2.1763,2.2236,2.0614,2.1103,2.1646,0.0543,0.0539000000000001,1.3716,0.6806,1.7159,0.53,-0.2255,-0.633,0.0611999999999999,-0.7124
"12",1.22,1.2336,1.0067,1.0227,1.1294,-0.5109,-0.5143,0.5295,-0.0594000000000001,0.5437,-0.1978,-0.5484,-0.5494,-0.7622,-0.6263
"13",1.7296,1.7614,1.4997,1.531,1.6098,0.3586,0.4034,1.0672,0.4786,1.0898,0.4836,0.1532,0.2554,0.0931999999999999,0.2176
"14",1.3602,1.5249,1.1801,1.3408,1.2653,0.5081,0.7136,0.8542,0.3862,0.8789,0.306,0.0872999999999999,0.1662,-0.2943,0.1403
"15",0.6768,0.8605,0.557,0.76,0.6329,0.0369999999999999,0.4882,0.4224,0.1078,0.4276,-0.2517,-0.3993,-0.4532,-0.8289,-0.5529
"16",0.1828,0.3945,0.0332999999999999,0.2708,0.1043,-0.4021,0.0660999999999998,-0.1948,-0.5656,-0.205,-0.6772,-0.8109,-0.8099,-1.0092,-0.7199
"17",2.3127,2.3994,2.0107,2.0941,2.1797,-0.3484,-0.2149,1.2506,0.2944,1.5492,0.6622,0.0211000000000001,0.101,0.0505999999999998,-0.1448
"18",2.6143,2.6522,2.316,2.3561,2.4954,-0.3474,-0.3309,1.4862,0.4205,1.8627,0.82,0.1258,-0.0202,0.1832,-0.4196
"19",2.8,2.8,2.8,2.8,2.8,-0.00980000000000025,0.0418999999999996,2.1112,0.654,2.8,1.4553,0.3946,-0.6053,0.7473,-1.2904
"20",1.6975,1.7057,1.4708,1.4836,1.5852,0.1259,0.1317,0.9581,0.2118,1.07,0.2938,-0.1208,-0.1732,-0.2375,-0.3812
"21",1.4895,1.5322,1.2466,1.2893,1.3516,0.1253,0.1863,0.8087,0.0651000000000002,0.9233,0.2029,-0.2011,-0.1428,-0.2398,-0.3164
"22",1.1826,1.2779,1.0023,1.1796,1.0773,0.365,0.5846,0.7217,0.1688,0.8555,0.157,-0.1221,-0.0554999999999999,-0.4229,-0.1953
"23",1.7655,2.013,1.5306,1.7375,1.6513,-0.395,-0.1423,1.0756,0.4257,1.2695,0.4223,0.0776000000000003,0.0356000000000001,-0.1108,-0.1635
"24",1.8287,2.0614,1.553,1.7788,1.6932,-0.4984,-0.183,0.965,0.1891,1.2486,0.4144,0.0419,0.0157000000000003,-0.2163,-0.2755
"25",1.5752,1.5807,1.5027,1.5147,1.5827,0.349,0.3583,1.1067,0.6726,1.1989,0.2143,-0.3115,-0.8402,-0.4624,-1.4811
"26",1.7391,1.7474,1.5106,1.5239,1.6292,0.1429,0.1477,1.048,0.3546,1.1957,0.444,0.0962000000000001,0.024,-0.1445,-0.2465
"27",1.0941,1.1041,1.1513,1.1939,1.2191,-0.0216000000000001,0.0408999999999999,0.7556,0.0759000000000001,0.8769,0.2032,-0.1377,-0.1086,-0.2703,-0.3307
"28",0.8682,0.8968,0.6701,0.8638,0.7632,-0.0891,0.1465,0.4137,-0.1436,0.5054,-0.1523,-0.3959,-0.3556,-0.7019,-0.4859
"29",0.0624,0.0961000000000001,-0.0118,0.0199,0.0271000000000001,-0.2791,-0.2841,-0.164,-0.3987,-0.2992,-0.9516,-1.1528,-1.1522,-1.4589,-1.1076
"30",2.6583,2.6646,2.6095,2.6157,2.7019,1.841,1.8464,1.9038,0.940700000000001,1.7657,0.750400000000001,-0.185099999999998,-0.615499999999999,0.136600000000001,-1.1703
"31",0.8949,0.9952,0.7952,0.8927,0.9121,-0.1181,-0.0124999999999997,0.4091,0.0750000000000002,0.4944,0.1622,0.1471,0.1407,-0.4849,0.1187
"32",1.9521,1.9523,1.9742,1.9742,2.0483,1.3329,1.3333,1.3488,0.811800000000001,1.3182,0.6109,0.1463,0.1123,-0.0564999999999998,-0.0716999999999999
