 Ref 	DOD-PBE-D4-ATM 	 DOD-PBE-D4-MBD 	 DOD-PBE-D3 	 DSD-PBE-D4-ATM 	 DSD-PBE-D4-MBD 	 DSD-PBE-D3 
-43.1	-46.2	-46.3	-46.4	-48.4	-48.5	-49.7
-46.6	-51.6	-51.8	-51.9	-54.2	-54.3	-55.4
-27.6	-35.8	-36	-36	-39.4	-39.4	-40.3
-62.5	-60.3	-60.5	-60.6	-58.5	-58.6	-59.4
3.7	2.9	2.7	2.6	3.7	3.6	3
-23.1	-21.7	-21.7	-21.8	-22.9	-22.9	-21.9
-16.2	-14.3	-14.2	-14.5	-14.8	-14.8	-13.3
-17.2	-13.5	-13.7	-14	-13.2	-13.3	-13.3
-18.8	-14.5	-14.6	-15	-14.2	-14.3	-13.2
-22.6	-21.9	-22.1	-22.1	-23.3	-23.4	-24.6
27	24.7	24.7	24.5	23	23	21.4
-29.8	-33.4	-33.5	-33.6	-35.5	-35.6	-35.2
-43.2	-45.8	-46	-46	-47.7	-47.8	-49.2
-52	-53.7	-54	-54.5	-55.1	-55.4	-56.7
-4.1	7.5	7.3	7.3	11.8	11.6	12.1
-39.8	-40.3	-40.8	-41.1	-40.3	-40.8	-41.7
-16.1	-13.9	-14	-14	-14	-14.1	-11.8
-34.2	-34	-34.4	-34.8	-33.7	-33.9	-36.2
-40.1	-39.9	-40.3	-40.7	-39.4	-39.6	-41.9
-30.2	-29.5	-29.8	-30.1	-28.8	-28.9	-30.9
-15.1	-17.2	-17.7	-18.1	-15.8	-16.1	-17.3
-35.9	-39	-39.4	-39.9	-40.3	-40.6	-42.6
-55	-55.1	-55.6	-56.1	-54.8	-55.1	-57.9
-41.6	-40.2	-41.1	-41.4	-39.9	-40.7	-42.7
-45.9	-45.2	-46.3	-46.4	-45.4	-46.3	-48.1
-36.4	-34.9	-35.2	-35.3	-33.3	-33.5	-34.7
-21.8	-21.1	-21.2	-21.3	-19.8	-19.9	-21
-36.3	-35.9	-36.1	-36.2	-34.6	-34.7	-36
-28.3	-28.7	-28.9	-28.8	-27.9	-28	-29.2
-14.9	-16	-16.2	-16.1	-14.9	-15.1	-15.8
-29.9	-29.4	-29.8	-30.1	-28.6	-28.9	-30.1
-1.9	-2	-2	-1.9	-2.3	-2.2	-2.1
-10.7	-6.7	-6.7	-6.7	-4.2	-4.2	-2.8
-25.6	-22.9	-23	-23.1	-21	-21.1	-21.3
-30.9	-28.3	-28.4	-28.7	-26.6	-26.7	-27.4
-39.8	-40.2	-40.4	-40.7	-40	-40	-41.1
-14	-16.9	-17.4	-17.3	-16	-16.4	-16.6
-64.4	-68.1	-68.6	-69	-67.4	-67.9	-74
-63.9	-63.3	-63.9	-64.5	-63.7	-64	-66.3
-65.8	-65.2	-65.4	-65.5	-64.9	-65	-67.7
-3.2	-2.4	-2.3	-2.4	-2.1	-2.1	-0.7
