"Ref"	"B3LYP-D4-ATM"	"B3LYP-D4-MBD"	"B3LYP-D3"	"PBE0-D4-ATM"	"PBE0-D4-MBD"	"PBE0-D3"
-43.1	-40.5	-40.6	-40.7	-44.6	-44.6	-44.7
-46.6	-41.9	-42.0	-42.0	-47.4	-47.4	-47.4
-27.6	-22.8	-22.9	-22.8	-26.4	-26.5	-26.4
-62.5	-66.2	-66.4	-66.5	-71.3	-71.4	-71.4
3.7	-0.1	-0.1	-0.2	-2.6	-2.7	-2.4
-23.1	-17.4	-17.4	-17.5	-21.0	-21.0	-20.3
-16.2	-12.1	-12.0	-12.8	-15.7	-15.6	-15.3
-17.2	-12.8	-12.9	-13.3	-16.0	-16.0	-15.3
-18.8	-14.3	-14.3	-15.1	-16.1	-16.1	-15.0
-22.6	-16.4	-16.6	-16.4	-19.4	-19.4	-19.1
 27.0	30.0	30.1	29.8	30.9	30.9	30.2
-29.8	-24.6	-24.6	-24.7	-29.9	-29.9	-28.9
-43.2	-38.0	-38.1	-37.9	-43.9	-43.9	-43.6
-52.0	-43.8	-44.0	-44.7	-50.9	-51.1	-50.5
-4.1	-5.0	-5.1	-5.1	-4.8	-4.9	-4.4
-39.8	-39.3	-39.8	-39.9	-40.4	-40.7	-40.0
-16.1	-14.5	-14.6	-14.5	-13.7	-13.7	-11.2
-34.2	-31.8	-32.0	-31.9	-33.3	-33.4	-32.8
-40.1	-37.2	-37.4	-37.3	-38.7	-38.7	-38.0
-30.2	-29.2	-29.4	-29.3	-28.6	-28.6	-27.8
-15.1	-18.5	-18.8	-19.0	-18.7	-18.8	-17.1
-35.9	-32.3	-32.6	-32.6	-33.5	-33.7	-32.1
-55.0	-51.2	-51.4	-51.3	-52.6	-52.8	-52.3
-41.6	-40.8	-41.7	-41.5	-41.3	-42.0	-41.7
-45.9	-45.4	-46.4	-46.0	-45.6	-46.4	-45.6
-36.4	-42.4	-42.6	-42.5	-38.5	-38.7	-39.0
-21.8	-26.8	-27.0	-27.1	-25.1	-25.3	-25.5
-36.3	-41.7	-41.9	-41.8	-39.2	-39.4	-39.5
-28.3	-32.8	-33.0	-32.6	-30.0	-30.1	-30.0
-14.9	-21.8	-22.1	-21.6	-16.3	-16.6	-16.1
-29.9	-32.8	-33.2	-33.5	-29.4	-29.8	-29.7
-1.9	0.1	0.1	0.5	0.2	0.2	0.7
-10.7	-18.9	-19.0	-19.1	-9.4	-9.5	-8.8
-25.6	-30.3	-30.5	-30.6	-25.1	-25.2	-25.0
-30.9	-34.6	-34.7	-34.9	-29.8	-29.9	-29.9
-39.8	-39.4	-39.5	-39.7	-34.9	-34.9	-35.3
-14.0	-33.0	-33.4	-33.4	-23.3	-23.5	-23.4
-64.4	-72.2	-72.6	-72.6	-69.1	-69.4	-71.8
-63.9	-58.2	-58.5	-59.0	-60.7	-60.9	-59.5
-65.8	-66.4	-66.5	-66.3	-69.0	-69.1	-69.2
-3.2	-6.3	-6.3	-6.6	-3.0	-3.0	-3.4	
