Ref	 revPBE-D4-ATM 	 revPBE-D4-MBD 	 revPBE-D3 	 M06L-D4-ATM 	 M06L-D4-MBD 	 M06L-D3 
-43.1 	 -44.5  	-44.6  	-45.0 	 -41.0  	-41.0  	-40.7 
-46.6 	 -47.6  	-47.6  	-48.0 	 -45.1  	-45.1  	-44.9 
-27.6 	 -29.0  	-29.1  	-29.2 	 -27.1  	-27.1  	-26.9 
-62.5 	 -73.6  	-73.8  	-74.5 	 -64.9  	-64.9  	-64.7 
 3.7 	 -6.8 	 -6.7  	-7.1 	 -2.7 	 -2.7 	 -2.5 
-23.1 	 -17.9  	-17.9  	-18.1 	 -18.1  	-18.1  	-18.1 
-16.2 	 -12.9  	-12.9  	-13.3 	 -16.8  	-16.8  	-16.8 
-17.2 	 -14.2  	-14.3  	-15.3 	 -7.7 	 -7.7 	 -7.5 
-18.8 	 -14.0  	-13.8  	-15.0 	 -7.2 	 -7.2 	 -8.2 
-22.6 	 -24.6  	-24.7  	-25.0 	 -13.2  	-13.2  	-12.7 
 27.0 	 24.2 	 24.5  	23.9 	 30.7 	 30.7 	 31.3 
-29.8 	 -30.6  	-30.4  	-30.9 	 -24.7  	-24.7  	-24.3 
-43.2 	 -44.8  	-44.7  	-45.0 	 -39.8  	-39.8  	-39.4 
-52.0 	 -51.2  	-51.3  	-52.9 	 -50.0  	-50.0  	-49.2 
-4.1 	 1.9 	 1.7  	1.6 	 5.4 	 5.4 	 5.5 
-39.8 	 -41.7  	-42.0  	-43.0 	 -42.3  	-42.3  	-40.6 
-16.1 	 -14.8  	-14.9  	-14.7 	 -18.2  	-18.2  	-17.7 
-34.2 	 -34.8  	-34.5  	-35.7 	 -24.7  	-24.7  	-23.9 
-40.1 	 -39.0  	-38.5  	-39.9 	 -28.8  	-28.8  	-27.7 
-30.2 	 -31.2  	-30.9  	-31.9 	 -24.6  	-24.6  	-23.6 
-15.1 	 -23.9  	-23.7  	-25.2 	 -13.7  	-13.7  	-12.7 
-35.9 	 -37.5  	-37.1  	-38.5 	 -21.8  	-21.7  	-20.7 
-55.0 	 -52.2  	-51.6  	-53.4 	 -40.8  	-40.8  	-39.8 
-41.6 	 -39.1  	-40.0  	-41.0 	 -39.0  	-38.9  	-36.8 
-45.9 	 -43.5  	-44.7  	-45.3 	 -44.0  	-43.9  	-41.1 
-36.4 	 -35.5  	-35.6  	-36.1 	 -33.7  	-33.7  	-33.0 
-21.8 	 -21.5  	-21.7  	-22.2 	 -22.2  	-22.2  	-22.1 
-36.3 	 -36.0  	-36.2  	-36.6 	 -33.9  	-33.9  	-33.5 
-28.3 	 -28.9  	-29.1  	-28.8 	 -25.7  	-25.7  	-25.4 
-14.9 	 -23.2  	-23.2  	-22.9 	 -12.4  	-12.4  	-12.2 
-29.9 	 -28.0  	-28.4  	-29.3 	 -23.8  	-23.8  	-23.9 
-1.9 	 -0.5 	 -0.3  	0.2 	 1.4 	 1.4 	 1.4 
-10.7 	 -10.5  	-10.6  	-10.4 	 -12.1  	-12.1  	-11.8 
-25.6 	 -25.1  	-25.1  	-25.5 	 -22.1  	-22.1  	-21.7 
-30.9 	 -29.1  	-29.0  	-29.8 	 -23.6  	-23.5  	-23.2 
-39.8 	 -33.6  	-33.2  	-34.5 	 -29.8  	-29.8  	-29.6 
-14.0 	 -29.7  	-30.4  	-30.5 	 -26.4  	-26.5  	-26.1 
-64.4 	 -73.0  	-73.0  	-74.4 	 -59.1  	-59.1  	-57.4 
-63.9 	 -56.7  	-56.8  	-59.0 	 -56.1  	-56.1  	-55.6 
-65.8 	 -66.7  	-66.5  	-66.9 	 -65.0  	-65.0  	-64.7 
-3.2 	 -1.3 	 -1.4  	-1.4 	 -4.7 	 -4.7 	 -4.9 
