Ref	 PBE-D4-ATM 	 PBE-D4-MBD 	 PBE-D3  	RPBE-D4-ATM 	 RPBE-D4-MBD 	 RPBE-D3 
-43.1 	 -46.7  	-46.8  	-46.7  	-44.4  	-44.6  	-49.0 
-46.6 	 -50.0  	-50.0  	-50.0  	-47.3  	-47.6  	-51.6 
-27.6 	 -31.5  	-31.5  	-31.4  	-28.8  	-29.0  	-31.8 
-62.5 	 -75.1  	-75.2  	-75.2  	-74.0  	-74.5  	-76.4 
 3.7 	 -7.4 	 -7.4  	-7.4 	 -7.2 	 -7.2  	-8.6 
-23.1 	 -20.4  	-20.4  	-20.4  	-17.7  	-17.8  	-11.6 
-16.2 	 -14.9  	-14.8  	-15.3  	-12.1  	-11.7  	-4.3 
-17.2 	 -14.4  	-14.5  	-14.7  	-14.1  	-14.4  	-13.6 
-18.8 	 -16.0  	-15.9  	-16.4  	-15.3  	-15.2  	-10.5 
-22.6 	 -24.5  	-24.6  	-24.4  	-24.6  	-24.9  	-28.1 
27.0 	 25.0 	 25.0 	 25.0 	 24.4 	 24.9 	 18.2 
-29.8 	 -30.8  	-30.7  	-30.6  	-30.8  	-30.8  	-26.0 
-43.2 	 -45.2  	-45.2  	-45.0  	-44.9  	-45.1  	-48.9 
-52.0 	 -52.3  	-52.5  	-52.6  	-51.2  	-51.5  	-55.5 
-4.1 	 1.2 	 1.1 	 1.1 	 1.2 	 0.8 	 3.8 
-39.8 	 -39.5  	-39.9  	-39.7  	-40.5  	-41.0  	-42.2 
-16.1 	 -14.4  	-14.5  	-14.4  	-14.6  	-14.6  	-2.1 
-34.2 	 -32.5  	-32.6  	-32.1  	-36.0  	-36.0  	-44.7 
-40.1 	 -36.3  	-36.4  	-35.8  	-39.9  	-39.9  	-48.6 
-30.2 	 -28.1  	-28.1  	-27.7  	-32.2  	-32.1  	-38.0 
-15.1 	 -20.4  	-20.6  	-20.3  	-25.2  	-25.3  	-28.0 
-35.9 	 -35.2  	-35.4  	-34.7  	-38.5  	-38.6  	-48.8 
-55.0 	 -50.2  	-50.3  	-49.6  	-53.8  	-53.6  	-65.6 
-41.6 	 -36.8  	-37.6  	-37.2  	-38.1  	-39.4  	-47.5 
-45.9 	 -41.4  	-42.3  	-41.7  	-41.6  	-43.3  	-50.6 
-36.4 	 -34.9  	-35.1  	-34.9  	-35.6  	-35.9  	-41.8 
-21.8 	 -21.9  	-22.1  	-22.1  	-21.8  	-22.3  	-30.1 
-36.3 	 -35.5  	-35.7  	-35.5  	-36.3  	-36.8  	-44.2 
-28.3 	 -27.7  	-27.8  	-27.5  	-29.0  	-29.4  	-35.5 
-14.9 	 -19.9  	-20.1  	-19.7  	-23.6  	-23.8  	-28.7 
-29.9 	 -26.6  	-26.9  	-27.0  	-28.9  	-29.6  	-36.5 
-1.9 	 0.9 	 0.9 	 1.2 	 -0.5 	 -0.4  	-0.4 
-10.7 	 -9.5 	 -9.6  	-9.7  	-10.1  	-10.1  	-5.2 
-25.6 	 -23.8  	-23.9  	-23.8  	-25.0  	-25.0  	-27.0 
-30.9 	 -28.1  	-28.2  	-28.1  	-29.2  	-29.2  	-34.1 
-39.8 	 -32.8  	-32.9  	-32.7  	-34.3  	-34.0  	-41.5 
-14.0 	 -29.8  	-30.0  	-30.0  	-30.3  	-31.3  	-31.1 
-64.4 	 -68.5  	-68.8  	-68.4  	-73.9  	-74.3  	-99.4 
-63.9 	 -57.0  	-57.2  	-57.1  	-58.6  	-59.5  	-68.8 
-65.8 	 -68.4  	-68.5  	-68.2  	-67.4  	-67.5  	-79.4 
-3.2 	 -2.8 	 -2.9  	-3.2 	 -1.1 	 -1.0 	 2.6 
