Ref 	 B3LYP-D4-ATM 	 B3LYP-D4-MBD 	 B3LYP-D3 	PBE0-D4-ATM 	 PBE0-D4-MBD 	 PBE0-D3 
-43.1  	-40.5  	-40.6  	-41.0 	 -44.6  	-44.6  	-44.7 
-46.6  	-41.9  	-42.0  	-42.3 	 -47.4  	-47.4  	-47.4 
-27.6  	-22.8  	-22.9  	-23.0 	 -26.4  	-26.4  	-26.4 
-62.5  	-66.2  	-66.4  	-66.5 	 -71.3  	-71.3  	-71.4 
 3.7 	 -0.1  	-0.1  	0.1 	 -2.6  	-2.6  	-2.4 
-23.1  	-17.4  	-17.4  	-15.9 	 -21.0  	-21.0  	-20.3 
-16.2  	-12.1  	-12.0  	-11.3 	 -15.7  	-15.7  	-15.3 
-17.2  	-12.8  	-12.9  	-11.8 	 -16.0  	-16.0  	-15.3 
-18.8  	-14.3  	-14.3  	-11.9 	 -16.1  	-16.1  	-15.0 
-22.6  	-16.4  	-16.6  	-16.4 	 -19.4  	-19.4  	-19.1 
 27.0 	 30.0  	30.1  	28.2 	 30.9  	30.9  	30.2 
-29.8  	-24.6  	-24.6  	-22.8 	 -29.9  	-29.9  	-28.9 
-43.2  	-38.0  	-38.1  	-37.9 	 -43.9  	-43.9  	-43.6 
-52.0  	-43.8  	-44.0  	-43.6 	 -50.9  	-50.9  	-50.5 
-4.1 	 -5.0  	-5.1  	-4.2 	 -4.8  	-4.8  	-4.4 
-39.8  	-39.3  	-39.8  	-39.7 	 -40.4  	-40.4  	-40.0 
-16.1  	-14.5  	-14.6  	-9.9 	 -13.7  	-13.7  	-11.2 
-34.2  	-31.8  	-32.0  	-31.7 	 -33.3  	-33.3  	-32.8 
-40.1  	-37.2  	-37.4  	-37.1 	 -38.7  	-38.7  	-38.0 
-30.2  	-29.2  	-29.4  	-28.6 	 -28.6  	-28.6  	-27.8 
-15.1  	-18.5  	-18.8  	-16.5 	 -18.7  	-18.7  	-17.1 
-35.9  	-32.3  	-32.6  	-30.6 	 -33.5  	-33.5  	-32.1 
-55.0  	-51.2  	-51.4  	-51.8 	 -52.6  	-52.6  	-52.3 
-41.6  	-40.8  	-41.7  	-42.9 	 -41.3  	-41.3  	-41.7 
-45.9  	-45.4  	-46.4  	-47.0 	 -45.6  	-45.6  	-45.6 
-36.4  	-42.4  	-42.6  	-43.6 	 -38.5  	-38.5  	-39.0 
-21.8  	-26.8  	-27.0  	-27.5 	 -25.1  	-25.1  	-25.5 
-36.3  	-41.7  	-41.9  	-42.5 	 -39.2  	-39.2  	-39.5 
-28.3  	-32.8  	-33.0  	-33.0 	 -30.0  	-30.0  	-30.0 
-14.9  	-21.8  	-22.1  	-21.6 	 -16.3  	-16.3  	-16.1 
-29.9  	-32.8  	-33.2  	-33.4 	 -29.4  	-29.4  	-29.7 
-1.9 	 0.1 	 0.1  	0.9 	 0.2 	 0.2  	0.7 
-10.7  	-18.9  	-19.0  	-17.9 	 -9.4  	-9.4  	-8.8 
-25.6  	-30.3  	-30.5  	-30.5 	 -25.1  	-25.1  	-25.0 
-30.9  	-34.6  	-34.7  	-35.1 	 -29.8  	-29.8  	-29.9 
-39.8  	-39.4  	-39.5  	-40.9 	 -34.9  	-34.9  	-35.3 
-14.0  	-33.0  	-33.4  	-33.7 	 -23.3  	-23.3  	-23.4 
-64.4  	-72.2  	-72.6  	-78.5 	 -69.1  	-69.1  	-71.8 
-63.9  	-58.2  	-58.5  	-56.7 	 -60.7  	-60.7  	-59.5 
-65.8  	-66.4  	-66.5  	-67.2 	 -69.0  	-69.0  	-69.2 
-3.2 	 -6.3  	-6.3  	-6.7 	 -3.0  	-3.0  	-3.4 
