Ref 	 PW6B95-D4-ATM 	 PW6B95-D4-MBD 	 PW6B95-D3 	 CAM-B3LYP-D4-ATM 	 CAM-B3LYP-D4-MBD 	 CAM-B3LYP-D3 
-43.1  	-41.8  	-41.8  	-41.4 	 -40.1  	-40.1  	-40.1 
-46.6  	-42.9  	-43.0  	-42.5 	 -42.7  	-42.7  	-42.7 
-27.6  	-22.6  	-22.6  	-22.2 	 -23.2  	-23.2  	-23.1 
-62.5  	-63.0  	-63.0  	-62.4 	 -64.4  	-64.4  	-64.2 
 3.7 	 1.0 	 1.1  	1.6 	 2.7 	 2.7  	3.0 
-23.1  	-19.8  	-19.7  	-18.8 	 -19.5  	-19.5  	-18.6 
-16.2  	-16.5  	-16.0  	-15.0 	 -14.1  	-14.1  	-13.4 
-17.2  	-12.2  	-12.4  	-11.3 	 -15.8  	-15.8  	-14.8 
-18.8  	-12.5  	-12.3  	-10.0 	 -17.8  	-17.8  	-16.5 
-22.6  	-15.5  	-15.6  	-14.7 	 -15.8  	-15.8  	-15.3 
27.0 	 32.8 	 33.0  	32.3 	 33.6 	 33.6  	33.1 
-29.8  	-28.4  	-28.2  	-26.7 	 -24.3  	-24.3  	-23.0 
-43.2  	-40.9  	-40.7  	-39.8 	 -38.4  	-38.4  	-37.9 
-52.0  	-47.9  	-48.1  	-47.4 	 -44.1  	-44.1  	-43.5 
-4.1 	 -3.9 	 -4.0  	-3.1 	 -9.6 	 -9.6  	-9.1 
-39.8  	-40.0  	-40.5  	-39.7 	 -39.0  	-39.0  	-38.2 
-16.1  	-15.2  	-15.2  	-12.5 	 -16.2  	-16.2  	-13.1 
-34.2  	-29.4  	-29.3  	-30.9 	 -30.2  	-30.2  	-29.8 
-40.1  	-34.5  	-34.5  	-36.2 	 -36.4  	-36.4  	-35.9 
-30.2  	-27.1  	-26.9  	-26.7 	 -28.2  	-28.2  	-27.3 
-15.1  	-16.0  	-16.1  	-16.0 	 -14.4  	-14.4  	-12.8 
-35.9  	-26.1  	-26.6  	-29.3 	 -27.4  	-27.4  	-26.5 
-55.0  	-46.8  	-46.7  	-50.3 	 -49.0  	-49.0  	-49.2 
-41.6  	-39.7  	-41.2  	-42.0 	 -40.7  	-40.7  	-41.0 
-45.9  	-43.0  	-44.7  	-45.1 	 -45.0  	-45.0  	-44.7 
-36.4  	-33.5  	-34.2  	-35.6 	 -42.1  	-42.1  	-42.9 
-21.8  	-21.4  	-22.1  	-23.7 	 -27.4  	-27.4  	-28.2 
-36.3  	-34.3  	-34.9  	-36.6 	 -41.8  	-41.8  	-42.6 
-28.3  	-26.1  	-26.7  	-27.4 	 -32.1  	-32.1  	-32.4 
-14.9 	 -9.9  	-10.6  	-11.6 	 -17.4  	-17.4  	-17.7 
-29.9  	-25.4  	-26.4  	-27.2 	 -33.3  	-33.3  	-34.1 
-1.9 	 -1.2 	 -1.1  	-1.5 	 0.5 	 0.5  	0.8 
-10.7  	-10.5  	-10.7  	-10.7 	 -18.5  	-18.5  	-18.1 
-25.6  	-24.1  	-24.4  	-25.4 	 -28.6  	-28.6  	-28.8 
-30.9  	-28.7  	-29.0  	-31.0 	 -32.7  	-32.7  	-33.3 
-39.8  	-33.5  	-33.5  	-37.2 	 -36.5  	-36.5  	-37.7 
-14.0  	-19.6  	-20.2  	-19.3 	 -26.7  	-26.7  	-26.9 
-64.4  	-59.6  	-60.5  	-64.0 	 -67.0  	-67.0  	-70.0 
-63.9  	-61.0  	-61.2  	-60.5 	 -60.8  	-60.8  	-59.8 
-65.8  	-66.2  	-66.2  	-66.9 	 -65.9  	-65.9  	-66.2 
-3.2 	 -1.0 	 -1.4  	-2.2 	 -5.9 	 -5.9  	-6.6 
