Ref 	 PBE-D4-ATM 	 PBE-D4-MBD 	 PBE-D3  	RPBE-D4-ATM  	RPBE-D4-MBD 	 RPBE-D3 
-43.1 	 -46.7  	-46.8  	-46.6  	-44.4  	-44.4  	-49.0 
-46.6 	 -50.0  	-50.0  	-49.9  	-47.3  	-47.3  	-51.6 
-27.6 	 -31.5  	-31.5  	-31.3  	-28.8  	-28.8  	-31.8 
-62.5 	 -75.1  	-75.2  	-75.0  	-74.0  	-74.0  	-76.4 
 3.7 	 -7.4  	-7.4  	-7.0  	-7.2  	-7.2  	-8.6 
-23.1 	 -20.4  	-20.4  	-19.6  	-17.7  	-17.7  	-11.6 
-16.2 	 -14.9  	-14.8  	-14.7  	-12.1  	-12.1  	-4.3 
-17.2 	 -14.4  	-14.5  	-13.7  	-14.1  	-14.1  	-13.6 
-18.8 	 -16.0  	-15.9  	-15.0  	-15.3  	-15.3  	-10.5 
-22.6 	 -24.5  	-24.6  	-23.9  	-24.6  	-24.6  	-28.1 
27.0 	 25.0  	25.0  	24.6 	 24.4  	24.4  	18.2 
-29.8 	 -30.8  	-30.7  	-29.4  	-30.8  	-30.8  	-26.0 
-43.2 	 -45.2  	-45.2  	-44.7  	-44.9  	-44.9  	-48.9 
-52.0 	 -52.3  	-52.5  	-51.4  	-51.2  	-51.2  	-55.5 
-4.1 	 1.2 	 1.1  	1.7 	 1.2 	 1.2 	 3.8 
-39.8 	 -39.5  	-39.9  	-38.5  	-40.5  	-40.5  	-42.2 
-16.1 	 -14.4  	-14.5  	-11.7  	-14.6  	-14.6  	-2.1 
-34.2 	 -32.5  	-32.6  	-31.0  	-36.0  	-36.0  	-44.7 
-40.1 	 -36.3  	-36.4  	-34.6  	-39.9  	-39.9  	-48.6 
-30.2 	 -28.1  	-28.1  	-26.5  	-32.2  	-32.2  	-38.0 
-15.1 	 -20.4  	-20.6  	-18.0  	-25.2  	-25.2  	-28.0 
-35.9 	 -35.2  	-35.4  	-32.5  	-38.5  	-38.5  	-48.8 
-55.0 	 -50.2  	-50.3  	-48.5  	-53.8  	-53.8  	-65.6 
-41.6 	 -36.8  	-37.6  	-36.3  	-38.1  	-38.1  	-47.5 
-45.9 	 -41.4  	-42.3  	-40.4  	-41.6  	-41.6  	-50.6 
-36.4 	 -34.9  	-35.1  	-34.9  	-35.6  	-35.6  	-41.8 
-21.8 	 -21.9  	-22.1  	-22.0  	-21.8  	-21.8  	-30.1 
-36.3 	 -35.5  	-35.7  	-35.4  	-36.3  	-36.3  	-44.2 
-28.3 	 -27.7  	-27.8  	-27.4  	-29.0  	-29.0  	-35.5 
-14.9 	 -19.9  	-20.1  	-19.2  	-23.6  	-23.6  	-28.7 
-29.9 	 -26.6  	-26.9  	-26.6  	-28.9  	-28.9  	-36.5 
-1.9 	 0.9 	 0.9  	1.5  	-0.5  	-0.5  	-0.4 
-10.7 	 -9.5  	-9.6  	-8.8  	-10.1  	-10.1  	-5.2 
-25.6 	 -23.8  	-23.9  	-23.3  	-25.0  	-25.0  	-27.0 
-30.9 	 -28.1  	-28.2  	-27.6  	-29.2  	-29.2  	-34.1 
-39.8 	 -32.8  	-32.9  	-32.8  	-34.3  	-34.3  	-41.5 
-14.0 	 -29.8  	-30.0  	-29.8  	-30.3  	-30.3  	-31.1 
-64.4 	 -68.5  	-68.8  	-70.0  	-73.9  	-73.9  	-99.4 
-63.9 	 -57.0  	-57.2  	-55.1  	-58.6  	-58.6  	-68.8 
-65.8 	 -68.4  	-68.5  	-68.1  	-67.4  	-67.4  	-79.4 
-3.2 	 -2.8  	-2.9  	-3.6  	-1.1  	-1.1 	 2.6 
