"","Ref","PBE0","B3LYP","DD-B3LYP","SC-BLYP","DD-SC-BLYP","DD-CAM-B3LYP"
"BeO (186)",2.95,2.17,2.15,2.05,2.15,2.04,2.25
"SiO2 (154)",2.3,2.08,2.08,1.97,2.08,1.96,2.2
"Al2O3 (167)",3.4,2.75,2.72,2.61,2.72,2.6,2.94
"B2O3 (144)",2.19,2.49,2.5,2.36,2.5,2.35,2.73
"Li2O (225)",2.68,2.44,2.41,2.28,2.4,2.26,2.64
"MgO (225)",2.95,2.4,2.38,2.24,2.38,2.23,2.56
"CaO (225)",3.27,2.23,2.23,2.09,2.22,2.08,2.38
"SrO (225)",3.47,3.23,3.22,3.05,3.22,3.05,3.75
"ZrO2 (14)",4.8,4.26,4.32,4.23,4.35,4.27,4.9
"HfO2 (14)",4.41,3.87,3.9,3.78,3.92,3.79,4.41
"GeO2 (136)",4.43,3.29,3.33,3.18,3.34,3.19,3.66
"Ga2O3 (12)",3.5,3.05,3.07,2.89,3.08,2.89,3.49
"BaO (225)",3.68,3.45,3.43,3.27,3.43,3.27,4.08
"In2O3 (206)",4,3.22,3.25,3.05,3.26,3.05,3.86
"SnO2 (136)",4.06,3.3,3.37,3.17,3.38,3.18,3.83
"ZnO (186)",3.73,3.18,3.22,2.96,3.24,2.97,4.48
"WO3 (14)",4.81,4.61,4.7,4.66,4.76,4.72,5.31
"SrTiO3 (221)",6.1,4.71,4.83,4.8,4.88,4.86,5.62
"CeO2 (225)",5.52,4.82,5.07,5.1,5.17,5.23,5.35
"a-TiO2 (141)",5.62,4.92,5.12,5.15,5.19,5.23,5.83
"r-TiO2 (136)",7.37,5.57,5.83,6.04,5.92,6.15,6.89
"BiVO4 (15)",9.6,5.3,5.38,5.44,5.48,5.55,6.32
"Cu2O (224)",6.46,3.3,3.44,2.93,3.52,3.03,5.25
