"","PBE0","B3LYP","DD-B3LYP","SC-BLYP","DD-SC-BLYP","DD-CAM-B3LYP"
"1",0.78,0.8,0.9,0.8,0.91,0.7
"2",0.22,0.22,0.33,0.22,0.34,0.0999999999999996
"3",0.65,0.68,0.79,0.68,0.8,0.46
"4",-0.3,-0.31,-0.17,-0.31,-0.16,-0.54
"5",0.24,0.27,0.4,0.28,0.42,0.04
"6",0.55,0.57,0.71,0.57,0.72,0.39
"7",1.04,1.04,1.18,1.05,1.19,0.89
"8",0.24,0.25,0.42,0.25,0.42,-0.28
"9",0.54,0.48,0.569999999999999,0.45,0.53,-0.100000000000001
"10",0.54,0.51,0.63,0.49,0.62,0
"11",1.14,1.1,1.25,1.09,1.24,0.77
"13",0.45,0.43,0.61,0.42,0.61,0.00999999999999979
"14",0.23,0.25,0.41,0.25,0.41,-0.4
"15",0.78,0.75,0.95,0.74,0.95,0.14
"16",0.76,0.69,0.89,0.68,0.879999999999999,0.23
"17",0.55,0.51,0.77,0.49,0.76,-0.75
"18",0.199999999999999,0.109999999999999,0.149999999999999,0.0499999999999998,0.0899999999999999,-0.5
"19",1.39,1.27,1.3,1.22,1.24,0.48
"20",0.699999999999999,0.449999999999999,0.42,0.35,0.289999999999999,0.17
"21",0.7,0.5,0.47,0.43,0.39,-0.21
"22",1.8,1.54,1.33,1.45,1.22,0.48
"23",4.3,4.22,4.16,4.12,4.05,3.28
"24",3.16,3.02,3.53,2.94,3.43,1.21
