"","PBE0","B3LYP","DD-B3LYP","SC-BLYP","DD-SC-BLYP","DD-CAM-B3LYP","expt"
"BeO (186)",2.17,2.15,2.05,2.15,2.04,2.25,2.95
"SiO2 (154)",2.08,2.08,1.97,2.08,1.96,2.2,2.3
"Al2O3 (167)",2.75,2.72,2.61,2.72,2.6,2.94,3.4
"B2O3 (144)",2.49,2.5,2.36,2.5,2.35,2.73,2.19
"Li2O (225)",2.44,2.41,2.28,2.4,2.26,2.64,2.68
"MgO (225)",2.4,2.38,2.24,2.38,2.23,2.56,2.95
"CaO (225)",2.23,2.23,2.09,2.22,2.08,2.38,3.27
"SrO (225)",3.23,3.22,3.05,3.22,3.05,3.75,3.47
"ZrO2 (14)",4.26,4.32,4.23,4.35,4.27,4.9,4.8
"HfO2 (14)",3.87,3.9,3.78,3.92,3.79,4.41,4.41
"GeO2 (136)",3.29,3.33,3.18,3.34,3.19,3.66,4.43
"Na2O (225)",2.58,2.58,2.34,2.57,2.32,3.05,NA
"Ga2O3 (12)",3.05,3.07,2.89,3.08,2.89,3.49,3.5
"BaO (225)",3.45,3.43,3.27,3.43,3.27,4.08,3.68
"In2O3 (206)",3.22,3.25,3.05,3.26,3.05,3.86,4
"SnO2 (136)",3.3,3.37,3.17,3.38,3.18,3.83,4.06
"ZnO (186)",3.18,3.22,2.96,3.24,2.97,4.48,3.73
"WO3 (14)",4.61,4.7,4.66,4.76,4.72,5.31,4.81
"SrTiO3 (221)",4.71,4.83,4.8,4.88,4.86,5.62,6.1
"CeO2 (225)",4.82,5.07,5.1,5.17,5.23,5.35,5.52
"a-TiO2 (141)",4.92,5.12,5.15,5.19,5.23,5.83,5.62
"r-TiO2 (136)",5.57,5.83,6.04,5.92,6.15,6.89,7.37
"BiVO4 (15)",5.3,5.38,5.44,5.48,5.55,6.32,9.6
"Cu2O (224)",3.3,3.44,2.93,3.52,3.03,5.25,6.46
