"","Ref","G4MP2","B3LYP","M06-2X","wB97X-D"
"CH4",-17.78,-17.65,-21.82,-15.74,-16.54
"C2H2",54.54,54.25,57.38,55.66,58.47
"C2H4",12.55,12.05,10.73,14.5,14.37
"C2H6",-20.03,-19.79,-25.5,-17.91,-19.26
"C3H4",44.19,44.07,44.01,44.62,46.96
"C3H4.1",45.53,44.52,41.28,44.83,45.9
"C3H4.2",66.23,67.51,65.94,64.78,68.35
"C3H6",4.78,4.47,1.39,6.75,6.21
"C3H6.1",12.74,13,9.88,10.94,12.46
"C3H8",-25.02,-24.74,-30.86,-22.61,-24.36
"C4H6",39.48,39.67,39,40.66,42.61
"C4H6.1",34.82,34.72,31.57,34.53,36.47
"C4H6.2",38.79,38.15,33.49,38.67,39.33
"C4H6.3",26.29,25.71,24.02,28.74,29.08
"C4H6.4",37.45,38.26,37.05,39.68,38.59
"C4H6.5",47.92,45.69,41.98,43.53,45.45
"C4H6.6",58.22,57.2,53.44,54.47,57.39
"C4H6.7",51.89,53.09,52.53,47.8,52.95
"C4H8",0.02,-0.2,-3.64,2.5,1.56
"C4H8.1",-1.7,-1.53,-6.01,0.76,-0.31
"C4H8.2",-2.72,-2.76,-7.48,-0.46,-1.41
"C4H8.3",-4.04,-4.3,-7.97,-1.78,-2.5
"C4H8.4",6.79,6.69,2.88,7.95,5.5
"C4H10",-30.02,-29.83,-36.22,-27.28,-29.49
"C4H10.1",-32.07,-31.84,-37.07,-29.11,-31.02
"C5H6",32.1,31.28,32.72,33.83,33.66
"C5H8",33.63,33.21,28.26,34.22,34.45
"C5H8.1",19.46,19.31,16.34,22.37,22.22
"C5H8.2",18.19,18.01,14.66,21,20.89
"C5H8.3",25.24,24.87,24.19,28.27,28.06
"C5H8.4",31.81,31.66,25.7,32.48,32.68
"C5H8.5",18.04,17.33,15.62,20.49,20.87
"C5H8.6",8.1,8.33,7.33,10.86,9.41
"C5H8.7",44.26,44.05,40.44,38.56,41.8
"C5H8.8",29.04,28.85,26.19,30.59,28.47
"C5H10",-5.09,-5.39,-9.05,-2.23,-3.65
"C5H10.1",-6.6,-6.24,-10.93,-3.4,-4.96
"C5H10.2",-7.62,-7.54,-12.51,-4.73,-6.15
"C5H10.3",-8.44,-8.58,-12.17,-5.55,-6.76
"C5H10.4",-6.6,-7.14,-9.73,-3.67,-4.82
"C5H10.5",-9.99,-9.96,-14.82,-7.25,-8.47
"C5H10.6",-18.26,-18.12,-21.3,-15.77,-18.48
"C5H10.7",-1.96,-2.46,-5.47,-3.07,-2.34
"C5H12",-35.11,-34.91,-41.5,-31.89,-34.6
"C5H12.1",-36.74,-35.56,-40.43,-32.42,-34.95
"C5H12.2",-40.18,-40.22,-43.33,-36.57,-38.35
"C6H6",19.74,18.78,17.9,19.47,20.12
"C6H8",25.38,24.86,25.83,27.77,27.39
"C6H10",20.1,19.32,18.75,23.18,22.52
"C6H10.1",10.78,9.89,8.57,13.38,13.9
"C6H10.2",-0.91,-0.91,-2.81,2.07,0.05
"C6H10.3",1.77,1.21,0.88,4.65,2.75
"C6H10.4",3.49,1.26,0.96,4.7,2.75
"C6H10.5",-1.2,-1.26,-2.09,1.23,-0.26
"C6H10.6",30.93,32,30.49,27.48,30.51
"C6H10.7",2.87,2.46,1.37,5.35,3.36
"C6H10.8",9.15,8.61,8.71,7.9,8.15
"C6H12",-10.4,-10.49,-14.33,-6.85,-8.76
"C6H12.1",-12.5,-11.5,-16.34,-8.16,-10.21
"C6H12.2",-12.88,-12.75,-17.91,-9.48,-11.37
"C6H12.3",-11.38,-11,-15.85,-7.57,-9.64
"C6H12.4",-13,-12.36,-17.54,-9.02,-10.92
"C6H12.5",-14.2,-13.79,-17.51,-10.24,-11.98
"C6H12.6",-11.83,-12.44,-14.86,-8.47,-10.11
"C6H12.7",-12.26,-12.63,-15,-8.78,-10.4
"C6H12.8",-15.99,-14.78,-19.73,-11.44,-13.2
"C6H12.9",-14.89,-14.38,-18.86,-11.05,-12.84
"C6H12.10",-15.08,-14.34,-18.98,-11.04,-12.79
"C6H12.11",-13.74,-13.25,-16.9,-9.51,-11.35
"C6H12.12",-14.7,-14.54,-18.54,-10.89,-12.56
"C6H12.13",-13.38,-12.97,-16.33,-9.31,-11.12
"C6H12.14",-14.96,-14.98,-17.24,-11.12,-12.59
"C6H12.15",-14.46,-14.91,-15.06,-10.69,-11.46
"C6H12.16",-16.3,-15.38,-19.94,-12.06,-13.46
"C6H12.17",-25.38,-25.03,-27.5,-21.79,-24.99
"C6H12.18",-29.49,-29.05,-31.61,-26.44,-29.27
"C6H12.19",-6.29,-6.57,-10.05,-4.02,-7.57
"C6H14",-39.94,-40.01,-46.77,-36.51,-39.72
"C6H14.1",-41.78,-41.51,-46.67,-37.73,-40.71
"C6H14.2",-41.13,-40.87,-45.69,-37.09,-40.08
"C6H14.3",-42.61,-42.14,-45.53,-38.14,-40.93
"C6H14.4",-44.48,-44.21,-46.65,-39.98,-42.33
"C7H8",43.24,42.79,44.85,45.87,46.52
"C7H8.1",12.05,10.89,9.51,12.25,12.46
"C7H8.2",81.05,78.77,84.76,75.44,78.05
