"","G4MP2","B3LYP","M06-2X","wB97X-D"
"1",-0.130000000000003,4.04,-2.04,-1.24
"2",0.289999999999999,-2.84,-1.12,-3.93
"3",0.5,1.82,-1.95,-1.82
"4",-0.240000000000002,5.47,-2.12,-0.77
"5",0.119999999999997,0.18,-0.43,-2.77
"6",1.01,4.25,0.700000000000003,-0.369999999999997
"7",-1.28,0.290000000000006,1.45,-2.11999999999999
"8",0.31,3.39,-1.97,-1.43
"9",-0.26,2.86,1.8,0.279999999999999
"10",-0.280000000000001,5.84,-2.41,-0.66
"11",-0.190000000000005,0.479999999999997,-1.18,-3.13
"12",0.100000000000001,3.25,0.289999999999999,-1.65
"13",0.640000000000001,5.3,0.119999999999997,-0.539999999999999
"14",0.579999999999998,2.27,-2.45,-2.79
"15",-0.809999999999995,0.400000000000006,-2.23,-1.14
"16",2.23,5.94,4.39,2.47
"17",1.02,4.78,3.75,0.829999999999998
"18",-1.2,-0.640000000000001,4.09,-1.06
"19",0.22,3.66,-2.48,-1.54
"20",-0.17,4.31,-2.46,-1.39
"21",0.0399999999999996,4.76,-2.26,-1.31
"22",0.26,3.93,-2.26,-1.54
"23",0.0999999999999996,3.91,-1.16,1.29
"24",-0.190000000000001,6.2,-2.74,-0.530000000000001
"25",-0.23,5,-2.96,-1.05
"26",0.82,-0.619999999999997,-1.73,-1.56
"27",0.420000000000002,5.37,-0.589999999999996,-0.82
"28",0.150000000000002,3.12,-2.91,-2.76
"29",0.18,3.53,-2.81,-2.7
"30",0.369999999999997,1.05,-3.03,-2.82
"31",0.149999999999999,6.11,-0.669999999999998,-0.870000000000001
"32",0.710000000000001,2.42,-2.45,-2.83
"33",-0.23,0.77,-2.76,-1.31
"34",0.210000000000001,3.82,5.7,2.46
"35",0.189999999999998,2.85,-1.55,0.57
"36",0.3,3.96,-2.86,-1.44
"37",-0.359999999999999,4.33,-3.2,-1.64
"38",-0.0800000000000001,4.89,-2.89,-1.47
"39",0.140000000000001,3.73,-2.89,-1.68
"40",0.54,3.13,-2.93,-1.78
"41",-0.0299999999999994,4.83,-2.74,-1.52
"42",-0.140000000000001,3.04,-2.49,0.219999999999999
"43",0.5,3.51,1.11,0.38
"44",-0.200000000000003,6.39,-3.22,-0.509999999999998
"45",-1.18,3.69,-4.32,-1.79
"46",0.0399999999999991,3.15,-3.61,-1.83
"47",0.959999999999997,1.84,0.27,-0.380000000000003
"48",0.52,-0.449999999999999,-2.39,-2.01
"49",0.780000000000001,1.35,-3.08,-2.42
"50",0.889999999999999,2.21,-2.6,-3.12
"51",0,1.9,-2.98,-0.96
"52",0.56,0.89,-2.88,-0.98
"53",2.23,2.53,-1.21,0.74
"54",0.0600000000000001,0.89,-2.43,-0.94
"55",-1.07,0.440000000000001,3.45,0.419999999999998
"56",0.41,1.5,-2.48,-0.49
"57",0.540000000000001,0.44,1.25,1
"58",0.0899999999999999,3.93,-3.55,-1.64
"59",-1,3.84,-4.34,-2.29
"60",-0.130000000000001,5.03,-3.4,-1.51
"61",-0.380000000000001,4.47,-3.81,-1.74
"62",-0.640000000000001,4.54,-3.98,-2.08
"63",-0.41,3.31,-3.96,-2.22
"64",0.609999999999999,3.03,-3.36,-1.72
"65",0.370000000000001,2.74,-3.48,-1.86
"66",-1.21,3.74,-4.55,-2.79
"67",-0.51,3.97,-3.84,-2.05
"68",-0.74,3.9,-4.04,-2.29
"69",-0.49,3.16,-4.23,-2.39
"70",-0.16,3.84,-3.81,-2.14
"71",-0.41,2.95,-4.07,-2.26
"72",0.0199999999999996,2.28,-3.84,-2.37
"73",0.449999999999999,0.6,-3.77,-3
"74",-0.92,3.64,-4.24,-2.84
"75",-0.349999999999998,2.12,-3.59,-0.390000000000001
"76",-0.439999999999998,2.12,-3.05,-0.219999999999999
"77",0.28,3.76,-2.27,1.28
"78",0.0700000000000003,6.83000000000001,-3.43,-0.219999999999999
"79",-0.270000000000003,4.89,-4.05,-1.07
"80",-0.260000000000005,4.56,-4.04,-1.05
"81",-0.469999999999999,2.92,-4.47,-1.68
"82",-0.269999999999996,2.17,-4.5,-2.15
"83",0.450000000000003,-1.61,-2.63,-3.28
"84",1.16,2.54,-0.199999999999999,-0.41
"85",2.28,-3.71000000000001,5.61,3
"86",0.509999999999998,0.699999999999999,-2.51,-1.38
"87",-0.790000000000006,-3.86000000000001,2.73999999999999,-0.230000000000004
"88",1.13,2.8,-2.2,0.18
"89",0.19,2.15,-2.93,-0.49
"90",-0.139999999999999,1.12,-3.17,-1.33
"91",-0.55,-0.57,-3.37,-1.48
"92",0.690000000000001,-2.56,-3.71,-0.609999999999999
"93",0.55,0.07,0.06,0.46
