"Formula","Name","Ref","G4MP2","B3LYP","M06-2X","wB97X-D"
"CH4","Methane",-17.78,-17.65,-21.82,-15.74,-16.54
"C2H2","Acetylene",54.54,54.25,57.38,55.66,58.47
"C2H4","Ethylene",12.55,12.05,10.73,14.5,14.37
"C2H6","Ethane",-20.03,-19.79,-25.5,-17.91,-19.26
"C3H4","Propyne",44.19,44.07,44.01,44.62,46.96
"C3H4","Allene",45.53,44.52,41.28,44.83,45.9
"C3H4","Cyclopropene",66.23,67.51,65.94,64.78,68.35
"C3H6","Propene",4.78,4.47,1.39,6.75,6.21
"C3H6","Cyclopropane",12.74,13,9.88,10.94,12.46
"C3H8","Propane",-25.02,-24.74,-30.86,-22.61,-24.36
"C4H6","1-Butyne",39.48,39.67,39,40.66,42.61
"C4H6","2-Butyne",34.82,34.72,31.57,34.53,36.47
"C4H6","1,2-Butadiene",38.79,38.15,33.49,38.67,39.33
"C4H6","1,3-Butadiene",26.29,25.71,24.02,28.74,29.08
"C4H6","Cyclobutene",37.45,38.26,37.05,39.68,38.59
"C4H6","Methylenecyclopropane",47.92,45.69,41.98,43.53,45.45
"C4H6","1-Methylcyclopropene",58.22,57.2,53.44,54.47,57.39
"C4H6","Bicyclo[1.1.0]butane",51.89,53.09,52.53,47.8,52.95
"C4H8","1-Butene",0.02,-0.2,-3.64,2.5,1.56
"C4H8","(Z)-2-Butene",-1.7,-1.53,-6.01,0.76,-0.31
"C4H8","(E)-2-Butene",-2.72,-2.76,-7.48,-0.46,-1.41
"C4H8","2-Methylpropene",-4.04,-4.3,-7.97,-1.78,-2.5
"C4H8","Cyclobutane",6.79,6.69,2.88,7.95,5.5
"C4H10","Butane",-30.02,-29.83,-36.22,-27.28,-29.49
"C4H10","2-Methylpropane",-32.07,-31.84,-37.07,-29.11,-31.02
"C5H6","1,3-Cyclopentadiene",32.1,31.28,32.72,33.83,33.66
"C5H8","1,2-Pentadiene",33.63,33.21,28.26,34.22,34.45
"C5H8","(Z)-1,3-Pentadiene",19.46,19.31,16.34,22.37,22.22
"C5H8","(E)-1,3-Pentadiene",18.19,18.01,14.66,21,20.89
"C5H8","1,4-Pentadiene",25.24,24.87,24.19,28.27,28.06
