"","B3LYP","B97-1","BH&HLYP","BLYP","CAM-B3LYP","LC-ωPBE","PBE","PBE0","PW86PBE"
"1",-0.22,1.8,0.59,-0.04,-0.51,1.915,2.28,2.66,1.82
"2",0.0966666666666667,1.07333333333333,1.71,0.34,0.35,2.23333333333333,0.703333333333333,1.59333333333333,1.10666666666667
"3",-0.058,1.192,1.222,0.746,-0.258,0.832,0.138,0.592,1.158
"4",-0.6525,0.715,2.0875,-0.8475,-0.6775,0.8975,-0.91,0.8275,-0.15
"5",0.726666666666667,1.56666666666667,4.4,0.14,0.403333333333333,1.55333333333333,-0.396666666666667,1.99666666666667,1.22333333333333
"6",1.15,1.795,4.935,0.27,0.72,1.445,-0.235,2.31,1.62
"7",-0.303333333333333,0.71,0.43,0.256666666666667,-0.196666666666667,2.09333333333333,1.56666666666667,1.8,2.04666666666667
"8",0.1,1.356,0.214,1.266,-0.218,1.352,2.108,1.752,2.84
"9",-0.2925,0.96,0.75,0.2825,-0.2525,2.0475,1.0925,1.5275,1.9675
"10",0.666666666666667,1.32,2.19666666666667,1.08666666666667,0.713333333333333,2.23333333333333,0.623333333333333,1.37666666666667,1.99666666666667
"11",1.325,1.53,2.835,1.61,1.32,2.17,0.615,1.37,2.055
"12",1.72,1.52,2,1.78,1.615,2.82,2.06,2.48,2.33
"13",0.855,1.52,5.31,-0.875,-0.19,0.995,-0.13,3.42,0.125
"14",0.7175,1.0725,4.4875,0.2525,0.61,1.255,-2.1475,0.4425,-0.8975
"15",0.145,0.786666666666667,2.36,0.558333333333333,-0.0866666666666667,0.736666666666667,-1.22,0.06,0.0983333333333333
"16",0.17625,0.95875,1.6075,1.06125,-0.2375,0.40875,-0.4675,0.12,0.88375
"17",0.0366666666666667,0.18,6.51333333333333,-2.27,0.22,1.10333333333333,-4.22333333333333,0.786666666666667,-3.58
"18",2.545,0.56,11.05,-0.735,1.885,1.465,-4.24,2.46,-2.1
"19",0.275,0.29,4.8925,-0.77,0.0025,0.565,-2.8,0.5425,-1.1175
"20",0.3,0.845,3.02,0.431666666666667,-0.213333333333333,0.538333333333333,-1.11166666666667,0.561666666666667,0.556666666666667
"21",-0.145,-0.275,10.96,-5.51,0.275,0.845,-7.15,1.97,-7.635
"22",-0.836666666666667,0.03,2.74333333333333,-1.39666666666667,-1.06,0.16,-2.34666666666667,0.138333333333333,-1.295
"23",0.61,0.595,6.89,-1.52,0.2225,0.9975,-3.17,1.5275,-0.9975
