"systems","nAtoms","compos","Eref","B3LYP","B97-1","BH&HLYP","BLYP","CAM-B3LYP","LC-ωPBE","PBE","PBE0","PW86PBE"
"lih",2,"1 H + 1 Li ","  -58.03"," -0.44","  3.60","  1.18"," -0.08"," -1.02","  3.83","  4.56","  5.32","  3.64"
"ch2sing",3,"2 H + 1 C "," -180.93","  0.29","  3.22","  5.13","  1.02","  1.05","  6.70","  2.11","  4.78","  3.32"
"ch4",5,"4 H + 1 C "," -420.33"," -0.29","  5.96","  6.11","  3.73"," -1.29","  4.16","  0.69","  2.96","  5.79"
"nh3",4,"1 N + 3 H "," -297.98"," -2.61","  2.86","  8.35"," -3.39"," -2.71","  3.59"," -3.64","  3.31"," -0.60"
"h2o",3,"1 O + 2 H "," -232.76","  2.18","  4.70"," 13.20","  0.42","  1.21","  4.66"," -1.19","  5.99","  3.67"
"hf",2,"1 F + 1 H "," -141.39","  2.30","  3.59","  9.87","  0.54","  1.44","  2.89"," -0.47","  4.62","  3.24"
"sih2sing",3,"2 H + 1 Si "," -151.87"," -0.91","  2.13","  1.29","  0.77"," -0.59","  6.28","  4.70","  5.40","  6.14"
"sih4",5,"4 H + 1 Si "," -322.32","  0.50","  6.78","  1.07","  6.33"," -1.09","  6.76"," 10.54","  8.76"," 14.20"
"ph3",4,"1 P + 3 H "," -241.94"," -1.17","  3.84","  3.00","  1.13"," -1.01","  8.19","  4.37","  6.11","  7.87"
"sh2",3,"2 H + 1 S "," -182.99","  2.00","  3.96","  6.59","  3.26","  2.14","  6.70","  1.87","  4.13","  5.99"
"hcl",2,"1 H + 1 Cl "," -107.24","  2.65","  3.06","  5.67","  3.22","  2.64","  4.34","  1.23","  2.74","  4.11"
"li2",2,"2 Li ","  -24.33","  3.44","  3.04","  4.00","  3.56","  3.23","  5.64","  4.12","  4.96","  4.66"
"lif",2,"1 F + 1 Li "," -137.98","  1.71","  3.04"," 10.62"," -1.75"," -0.38","  1.99"," -0.26","  6.84","  0.25"
"c2h2",4,"2 H + 2 C "," -405.68","  2.87","  4.29"," 17.95","  1.01","  2.44","  5.02"," -8.59","  1.77"," -3.59"
"c2h4",6,"4 H + 2 C "," -563.66","  0.87","  4.72"," 14.16","  3.35"," -0.52","  4.42"," -7.32","  0.36","  0.59"
