"","systems","Eref","uEref","M11","M06-2X","ωB97","LC-τHCTH","HISS","LC-ωPBE","MP2"
"1","H2O","9.642","0.096","9.317","9.380","9.744","9.663","9.234","9.546","9.688"
"2","HCN","16.75","0.2","16.63","16.70","16.82","16.93","16.43","16.54","16.30"
"3","H2S","24.68","0.08","24.74","24.62","24.26","24.96","24.17","24.04","24.50"
"4","CO2","17.5","0.02","16.80","16.78","17.19","17.15","16.54","16.96","17.55"
"5","N2O","19.7","0.2","18.99","18.97","19.37","19.52","18.76","19.10","19.42"
"6","O3","19.18","0.5","18.42","18.61","18.92","19.18","18.33","18.59","15.94"
"7","OCS","33.72","0.6","33.81","33.82","33.90","34.56","33.29","33.59","34.72"
"8","SO2","25.61","0.5","24.51","24.67","25.13","25.10","24.37","24.73","25.59"
"9","CS2","55.3","1","55.40","55.40","55.08","56.77","54.42","54.73","56.53"
"10","H2Se","30.9","0.3","30.78","31.03","30.95","31.38","30.60","30.30","30.60"
"11","SnCl2","70.7","2","68.72","70.37","68.43","68.66","68.54","68.16","69.29"
"12","SnBr2","88.8","3","86.53","88.60","87.31","87.06","86.80","85.82","87.23"
"13","SnI2","119.6","5","116.2","119.6","120.1","119.7","119.8","117.5","120.3"
"14","HgCl2","61.2","1.3","60.46","60.60","59.45","60.79","59.61","58.81","61.90"
"15","HgBr2","78.3","1.5","78.09","78.77","78.18","79.43","77.82","76.38","79.91"
"16","HgI2","111.2","2.2","108.2","110.5","111.0","112.8","110.9","108.2","113.4"
"17","NH3","14.56","0.3","13.70","13.86","13.98","13.99","13.54","13.73","14.14"
"18","C2H2","22.96","0.5","22.74","22.90","22.83","23.34","22.58","22.39","22.29"
"19","H2CO","19.32","0.25","17.65","17.43","17.64","17.57","17.25","17.38","17.54"
"20","PH3","30.4","1.5","31.04","30.36","30.12","30.82","30.02","29.82","30.10"
"21","NCCN","32.2","1","32.22","32.20","32.31","32.41","31.94","31.81","31.14"
"22","BF3","16.27","0.2","15.54","15.36","16.31","16.03","15.40","16.09","15.81"
"23","NF3","18.95","0.2","18.00","17.99","18.75","18.63","17.92","18.44","18.23"
"24","AsH3","36.9","1.2","34.89","35.58","35.22","35.65","35.08","34.84","35.00"
"25","SO3","29","1.5","27.42","27.44","28.02","27.88","27.06","27.63","28.60"
"26","SOF2","26.5","0.8","25.77","25.81","26.60","26.34","25.60","26.20","26.72"
"27","CCl2O","44.29","0.5","44.67","44.59","44.22","44.60","43.87","43.89","44.90"
"28","CCl2S","64.6","3.5","63.20","63.38","62.45","63.46","62.50","61.97","62.77"
"29","BCl3","53.75","0.6","55.12","55.10","54.06","54.58","53.99","53.95","54.96"
"30","P4","91.7","1","90.51","90.65","89.17","91.42","89.76","88.35","91.88"
"31","PCl3","70.3","8.7","68.78","68.89","67.84","68.87","67.85","67.44","69.17"
"32","AsCl3","86.8","6","73.97","74.49","73.51","74.68","73.43","73.09","74.91"
"33","BBr3","76.6","1","77.37","77.75","76.97","76.57","76.46","75.73","77.02"
"34","As4","116.7","1.1","110.7","115.3","115.8","118.2","115.6","114.3","116.2"
"34","CH4","17.24","0.026","17.14","16.69","16.65","16.77","16.40","16.49","16.50"
"35","SiH4","31.97","0.3","32.32","31.39","31.18","31.25","30.89","31.04","30.41"
"36","CH3F","17.46","0.3","17.10","16.81","17.08","16.97","16.62","16.86","16.79"
"37","CH3Cl","29.98","0.32","29.73","29.52","29.22","29.66","28.99","28.96","29.29"
"38","CH2F2","17.89","0.18","17.52","17.37","17.95","17.73","17.26","17.68","17.53"
"39","SiH3Cl","35.8","1.5","43.10","41.99","41.65","41.92","41.35","41.45","41.29"
"40","CHF3","18.63","0.25","18.21","18.10","18.92","18.67","18.04","18.63","18.41"
"41","GeH4","32.19","0.62","34.95","35.02","34.57","34.98","34.48","34.45","34.15"
"42","CH2Cl2","44.89","0.5","43.10","43.04","42.40","43.10","42.26","42.05","42.74"
"43","CHClF2","30.6","1","30.79","30.71","31.03","31.10","30.33","30.69","30.80"
"44","CF4","19.1","0.2","18.82","18.67","19.64","19.37","18.65","19.34","19.08"
"45","CH3Br","36.69","0.95","36.80","36.63","36.58","37.02","36.06","35.86","36.10"
"46","SiH2Cl2","49.4","1","54.06","53.25","52.65","53.11","52.41","52.42","52.76"
"47","CHCl2F","38.5","1.4","43.64","43.59","43.29","43.72","42.88","42.90","43.45"
"48","SiF4","22.44","0.22","21.88","21.71","23.04","22.55","21.74","22.72","22.30"
"49","CClF3","32.04","0.6","31.13","30.98","31.54","31.47","30.66","31.20","31.20"
"50","CHCl3","56.22","0.05","56.49","56.53","55.49","56.30","55.48","55.07","56.14"
"51","CCl2F2","42.85","0.5","43.95","43.86","43.84","44.04","43.20","43.46","43.85"
"52","SO2Cl2","58.5","1","56.34","56.28","55.99","56.43","55.31","55.58","57.33"
"53","SiHCl3","61.5","1","65.15","64.75","63.85","64.42","63.66","63.58","64.40"
"54","CCl3F","53.3","1","56.90","56.85","56.13","56.61","55.84","55.72","56.60"
"55","CH3I","49.24","0.5","48.49","48.70","49.20","49.51","48.72","48.12","48.41"
"56","GeF4","26.92","0.5","26.04","25.72","27.56","26.97","25.98","27.07","26.86"
"57","CBrF3","37.89","0.53","37.97","37.84","38.58","38.38","37.49","37.90","37.83"
"58","CCl4","69.23","0.09","69.59","69.59","68.21","69.01","68.35","67.78","69.23"
"59","SiCl4","75.8","1","76.09","76.07","74.89","75.58","74.80","74.66","75.92"
"60","CH2Br2","55.42","0.6","57.54","57.62","57.25","57.84","56.75","56.06","56.62"
"61","TiCl4","101.4","2","92.90","92.35","92.46","93.83","91.59","91.87","98.20"
"62","CIF3","50.5","1.3","49.31","49.41","50.62","50.05","49.51","49.64","49.65"
"63","GeCl4","83.1","4","82.85","81.94","81.42","82.87","81.46","81.10","82.82"
"64","OsO4","51","1","47.97","48.19","49.08","49.25","47.49","48.32","55.40"
