"","Ref","M11","M06-2X","ωB97","LC-τHCTH","HISS","LC-ωPBE","MP2"
"56",54.319,54.845,54.87,54.919,55.537,54.41,53.935,54.554
"93",50.01,50.886,50.643,50.53,50.676,49.886,49.506,49.815
"97",50.36,51.171,50.764,50.235,50.509,49.777,49.326,50.33
"103",47.521,48.437,48.273,48.17,48.54,47.699,47.122,47.657
"112",59.585,61.337,60.99,60.863,60.4,60.456,59.836,59.757
"117",53.103,53.843,53.706,53.528,53.687,52.928,52.663,53.19
"119",56.635,58.659,58.752,59.241,60.617,59.003,58.057,57.647
"129",87.131,86.801,86.875,85.151,86.084,85.244,84.271,87.305
"142",40.239,40.975,40.865,40.606,41.14,40.294,39.945,40.45
"158",18.028,18.178,17.954,18.415,18.237,17.765,18.022,17.876
"159",64.337,63.735,63.516,63.8,63.35,62.558,62.778,64.564
"205",46.911,48.308,48.738,48.096,48.667,48.244,47.067,47.092
"213",71.413,72.553,72.044,71.074,71.24,70.713,69.737,71.282
"223",41.717,42.364,42.284,42.395,42.42,41.637,41.6,41.291
"245",59.151,58.192,58.218,58.638,58.18,57.491,57.732,59.485
"256",54.029,53.482,53.305,53.482,53.142,52.514,52.681,54.579
"257",53.551,52.989,53.03,52.665,52.849,52.273,51.918,54.093
"267",92.702,90.302,90.711,89.375,90.294,88.82,88.213,93.141
"276",67.463,69.965,70.071,69.719,70.638,70.052,68.454,68.337
"281",54.422,55.839,55.811,55.755,56.062,55.395,54.769,54.561
"282",65.17,66.421,66.226,65.586,66.036,65.432,64.732,65.489
"287",68.509,69.055,68.803,68.801,68.483,68.147,67.46,68.587
"306",60.476,59.687,59.736,58.985,59.363,58.521,58.117,60.907
"318",58.364,58.778,58.726,58.778,59.14,58.179,57.782,58.962
"332",46.236,45.911,45.79,46.11,45.862,45.203,45.417,46.527
"336",50.959,50.357,50.149,50.609,50.312,49.508,49.843,50.994
"342",67.214,67.743,68.032,67.887,68.026,67.033,66.475,67.471
"346",101.446,102.891,103.644,100.93,101.864,101.836,99.326,101.935
"351",28.588,28.788,28.616,28.91,28.812,28.336,28.493,28.744
