"","systems","HF","MP2","CCSD(T)","LSDA","PBE","HCTH","N12","revTPSS","tHCTH","M11-L","MN12-L","PBE0","mPW1PW","B3LYP","B3PW91","B97-2","M06","M06-2X","M06-HF","SOGGA11X","tHCTHhyb","BMK","TPSSh","LC-rTPSS","LC-wPBE","LC-N12","LC-HCTH","LC-tHCTH","M11","CAM-B3LYP","wB97XD","wB97","wB97X","N12-SX","MN12-SX","HSE06","HISS"
1,0056,54.392,54.554,54.319,56.885,56.773,56.323,56.094,56.163,56.168,58.116,57.226,55.295,55.195,56.002,55.317,55.277,55.974,54.870,54.960,55.360,55.695,55.174,55.634,53.819,53.935,53.434,54.690,55.537,54.845,55.328,55.201,54.919,55.101,55.062,57.218,55.367,54.410
2,0093,49.138,49.815,50.010,52.985,52.876,52.244,51.974,52.071,52.020,53.267,52.131,51.048,50.915,51.731,51.173,51.024,51.445,50.643,49.906,50.585,51.556,51.002,51.487,49.077,49.506,48.664,49.857,50.676,50.886,50.867,51.074,50.530,50.867,50.672,52.097,51.174,49.886
3,0097,48.852,50.330,50.360,53.220,52.949,52.058,51.677,52.010,51.859,53.813,51.707,50.969,50.840,51.756,51.139,50.874,51.908,50.764,49.780,50.469,51.467,51.033,51.382,48.921,49.326,48.383,49.557,50.509,51.171,50.808,51.032,50.235,50.714,50.562,52.126,51.132,49.777
4,0103,47.508,47.657,47.521,50.430,50.260,49.796,49.450,49.352,49.455,51.276,50.148,48.668,48.517,49.361,48.743,48.621,49.427,48.273,47.173,48.320,49.090,48.720,48.935,46.766,47.122,46.444,47.735,48.540,48.437,48.543,48.730,48.170,48.525,48.320,49.879,48.815,47.699
5,0112,57.508,59.757,59.585,65.759,65.739,64.733,64.463,64.963,64.865,67.247,64.508,62.452,62.356,63.360,62.813,62.600,62.684,60.990,60.280,61.752,63.611,61.966,63.658,59.182,59.836,58.488,59.405,60.400,61.337,61.714,61.911,60.863,61.302,61.988,64.340,62.566,60.456
6,0117,51.584,53.190,53.103,56.916,56.373,55.889,55.521,55.526,55.780,57.220,56.451,54.348,54.154,54.817,54.374,54.292,54.389,53.706,53.805,53.971,54.897,53.803,54.840,52.459,52.663,51.826,53.034,53.687,53.843,54.021,54.086,53.528,53.841,53.934,56.055,54.390,52.928
7,0119,61.631,57.647,56.635,60.311,60.176,59.909,60.000,59.680,60.067,64.014,62.877,59.477,59.394,60.222,59.407,59.495,60.997,58.752,58.113,59.897,59.815,59.419,59.538,58.129,58.057,57.944,59.441,60.617,58.659,59.787,59.677,59.241,59.582,59.420,62.128,59.554,59.003
8,0129,83.094,87.305,87.131,91.249,90.540,89.185,88.006,89.036,88.907,93.763,88.482,87.276,87.045,88.469,87.472,87.058,88.826,86.875,85.910,86.469,88.017,86.945,87.849,83.848,84.271,82.165,84.653,86.084,86.801,86.789,86.704,85.151,86.079,86.446,89.730,87.479,85.244
9,0142,40.182,40.450,40.239,42.766,42.444,41.852,41.531,41.861,41.830,44.285,42.455,41.154,41.055,41.731,41.223,41.079,42.046,40.865,40.419,41.026,41.512,41.150,41.400,39.846,39.945,39.283,40.331,41.140,40.975,41.154,41.183,40.606,40.968,40.912,42.540,41.219,40.294
10,0158,17.326,17.876,18.028,18.949,18.965,18.638,18.441,18.772,18.595,18.971,18.553,18.230,18.196,18.464,18.288,18.228,18.320,17.954,17.798,18.179,18.427,18.205,18.450,17.880,18.022,17.661,17.974,18.237,18.178,18.306,18.375,18.415,18.406,18.025,18.563,18.231,17.765
11,0159,59.555,64.564,64.337,67.890,67.602,66.618,66.084,66.715,66.449,67.047,65.840,64.462,64.313,65.179,64.710,64.470,64.821,63.516,63.043,63.857,65.302,63.915,65.448,62.238,62.778,61.512,62.541,63.350,63.735,64.060,64.211,63.800,63.985,63.888,65.773,64.521,62.558
12,0205,48.239,47.092,46.911,50.772,50.749,50.313,50.392,50.318,50.352,53.376,51.901,49.343,49.239,50.081,49.430,49.418,49.174,48.738,49.177,49.203,49.992,49.639,49.794,46.877,47.067,46.341,47.606,48.667,48.308,49.020,49.085,48.096,48.621,49.145,51.455,49.427,48.244
13,0213,69.066,71.282,71.413,75.837,75.605,74.460,73.920,74.125,73.938,75.597,72.982,72.473,72.267,73.599,72.744,72.377,73.604,72.044,70.267,71.402,73.265,72.486,73.185,69.005,69.737,68.231,70.012,71.240,72.553,71.923,72.295,71.074,71.776,71.924,73.470,72.759,70.713
14,0223,41.078,41.291,41.717,44.268,44.135,43.642,43.461,43.644,43.601,44.908,43.970,42.678,42.586,43.114,42.750,42.687,42.872,42.284,42.252,42.566,43.112,42.577,43.073,41.384,41.600,40.993,41.778,42.420,42.364,42.573,42.681,42.395,42.569,42.389,43.901,42.696,41.637
15,0245,54.462,59.485,59.151,62.998,62.606,61.902,60.895,61.522,61.613,62.375,60.555,59.492,59.268,60.106,59.638,59.462,59.876,58.218,56.853,58.697,60.187,57.999,60.400,57.219,57.732,56.246,57.716,58.180,58.192,59.032,59.056,58.638,58.864,58.589,60.398,59.575,57.491
16,0256,49.655,54.579,54.029,57.216,56.944,56.409,55.816,56.126,56.123,56.558,55.708,54.215,54.030,54.846,54.323,54.192,54.591,53.305,53.058,53.529,54.885,53.291,55.109,52.267,52.681,51.543,52.743,53.142,53.482,53.896,53.919,53.482,53.702,53.589,55.614,54.286,52.514
17,0257,49.960,54.093,53.551,57.300,57.012,56.747,55.969,55.844,56.116,57.107,55.973,54.031,53.795,54.836,54.054,53.976,54.566,53.030,52.668,53.184,54.681,52.903,54.878,51.531,51.918,50.617,52.477,52.849,52.989,53.611,53.434,52.665,53.090,53.435,55.932,54.134,52.273
18,0267,86.782,93.141,92.702,94.701,94.377,93.125,92.028,93.059,93.009,98.698,93.571,91.022,90.846,92.432,91.229,90.951,92.565,90.711,91.404,90.957,91.855,90.436,91.700,87.707,88.213,86.221,88.724,90.294,90.302,90.764,90.841,89.375,90.223,90.020,94.645,91.196,88.820
19,0276,69.930,68.337,67.463,74.349,73.761,73.414,73.150,72.629,73.389,76.904,75.409,71.467,71.260,72.257,71.503,71.508,72.334,70.071,69.346,71.191,72.249,70.658,72.001,68.312,68.454,67.777,69.543,70.638,69.965,70.875,70.855,69.719,70.311,71.229,74.195,71.606,70.052
20,0281,54.672,54.561,54.422,59.092,58.699,58.195,57.990,57.890,58.192,60.363,59.168,56.715,56.568,57.302,56.805,56.740,57.146,55.811,55.348,56.468,57.351,56.254,57.225,54.540,54.769,54.074,55.227,56.062,55.839,56.355,56.431,55.755,56.116,56.448,58.553,56.780,55.395
21,0282,64.054,65.489,65.170,70.241,69.554,68.743,68.318,68.422,68.732,71.626,69.497,67.046,66.842,67.741,67.137,66.941,67.921,66.226,65.753,66.392,67.733,66.410,67.610,64.502,64.732,63.610,65.102,66.036,66.421,66.588,66.597,65.586,66.138,66.626,69.299,67.152,65.432
22,0287,65.404,68.587,68.509,74.086,73.947,72.994,72.482,72.676,72.511,73.295,71.855,70.206,70.024,71.266,70.536,70.251,71.162,68.803,66.786,69.152,71.212,69.479,71.360,66.658,67.460,66.053,67.536,68.483,69.055,69.517,69.781,68.801,69.284,69.724,71.370,70.430,68.147
23,0306,56.894,60.907,60.476,63.341,62.995,62.317,61.651,61.807,61.995,66.239,63.009,60.258,60.080,61.209,60.318,60.184,61.346,59.736,59.843,60.035,60.833,59.561,60.825,57.779,58.117,56.786,58.546,59.363,59.687,59.964,59.962,58.985,59.523,59.525,63.583,60.383,58.521
24,0318,56.738,58.962,58.364,63.039,62.520,62.158,61.419,61.372,61.744,63.574,62.474,59.866,59.618,60.580,59.881,59.815,60.307,58.726,58.010,59.336,60.506,58.868,60.538,57.488,57.782,56.656,58.509,59.140,58.778,59.519,59.478,58.778,59.167,59.284,61.815,59.947,58.179
25,0332,42.972,46.527,46.236,49.487,49.088,48.554,47.871,48.193,48.307,49.081,48.088,46.721,46.535,47.212,46.807,46.661,46.972,45.790,45.004,46.129,47.253,45.803,47.364,45.070,45.417,44.382,45.506,45.862,45.911,46.458,46.469,46.110,46.301,46.130,47.849,46.764,45.203
26,0336,47.377,50.994,50.959,53.789,53.424,52.728,52.148,52.623,52.576,53.246,52.191,50.976,50.834,51.513,51.113,50.940,51.502,50.149,49.383,50.499,51.557,50.331,51.707,49.523,49.843,48.891,49.788,50.312,50.357,50.795,50.816,50.609,50.709,50.445,52.107,51.013,49.508
27,0342,65.216,67.471,67.214,72.666,72.551,71.737,71.184,71.517,71.485,74.778,72.056,69.219,69.008,70.266,69.383,69.287,69.520,68.032,67.503,68.769,70.271,68.850,70.259,65.966,66.475,64.853,66.862,68.026,67.743,68.724,68.854,67.887,68.377,68.488,71.456,69.316,67.033
28,0346,99.451,101.935,101.446,109.628,109.073,107.739,107.196,107.494,107.637,114.046,108.542,104.609,104.338,106.080,104.861,104.619,105.836,103.644,103.477,103.664,106.047,104.215,105.868,98.827,99.326,97.083,99.979,101.864,102.891,103.218,103.291,100.930,102.148,103.914,108.710,104.887,101.836
29,0351,27.176,28.744,28.588,30.855,30.574,30.293,29.837,30.017,30.127,30.690,30.205,29.197,29.072,29.484,29.219,29.139,29.200,28.616,28.320,28.819,29.492,28.633,29.541,28.336,28.493,27.878,28.647,28.812,28.788,29.109,29.086,28.910,29.015,28.854,30.007,29.216,28.336
30,0353,15.864,16.846,16.773,18.062,17.940,17.731,17.409,17.632,17.645,17.951,17.594,17.112,17.046,17.298,17.139,17.078,17.188,16.738,16.353,16.895,17.275,16.734,17.328,16.728,16.842,16.452,16.882,16.933,16.868,17.130,17.101,17.079,17.099,16.886,17.509,17.119,16.607
31,0361,74.176,71.830,70.979,75.038,74.871,74.662,74.481,74.240,74.624,79.018,77.308,73.473,73.330,74.372,73.385,73.521,74.875,72.825,72.449,74.023,74.050,73.419,73.803,71.186,71.177,70.745,72.734,74.024,72.456,73.458,73.449,72.705,73.174,73.256,76.710,73.585,72.539
32,0381,101.789,106.926,106.750,113.390,112.567,110.139,109.218,111.203,110.300,114.461,108.158,107.902,107.673,109.176,108.326,107.624,109.920,107.239,106.803,106.399,109.112,107.256,109.251,103.329,103.839,101.048,103.231,105.159,107.654,106.814,106.980,104.755,105.969,107.085,109.654,108.146,105.084
33,0390,82.167,80.994,80.271,90.763,90.707,89.957,90.200,89.787,90.140,94.775,91.805,87.103,86.940,88.462,87.497,87.419,86.366,84.827,84.776,86.013,88.739,86.670,88.494,80.451,81.056,79.651,81.450,83.127,83.830,85.277,85.304,82.633,83.846,87.009,90.514,87.412,84.837
34,0393,36.286,36.577,36.700,39.762,39.826,39.406,39.203,39.378,39.288,41.440,39.706,38.044,37.983,38.740,38.183,38.141,38.435,37.247,36.732,37.927,38.647,37.910,38.694,36.193,36.475,35.767,36.705,37.413,37.132,37.894,37.947,37.342,37.651,37.678,39.524,38.097,36.798
35,0397,75.623,80.846,80.455,86.427,85.625,84.239,83.087,83.946,83.953,87.771,83.206,81.309,81.033,82.458,81.502,81.160,82.872,80.293,79.393,80.263,82.354,80.299,82.406,77.502,78.047,75.954,78.354,79.602,80.246,80.555,80.573,79.124,79.916,80.207,83.853,81.500,78.775
36,0399,30.035,32.223,32.296,35.069,34.976,34.480,33.856,34.420,34.262,34.728,33.782,32.740,32.642,33.273,32.875,32.767,33.337,31.877,30.889,32.472,33.247,31.990,33.534,31.443,31.744,30.950,31.711,32.012,31.980,32.610,32.628,32.403,32.510,32.225,33.637,32.779,31.449
37,0425,56.935,58.763,58.300,60.206,59.993,59.499,58.816,59.244,59.285,62.204,59.823,58.344,58.186,59.085,58.368,58.293,59.094,58.058,57.753,58.402,58.792,58.340,58.646,56.566,56.749,55.723,57.483,58.420,57.648,58.313,58.286,57.744,58.123,57.824,60.109,58.425,57.220
38,0438,51.656,54.053,54.080,56.681,56.709,56.011,55.561,56.228,55.861,57.036,56.192,54.490,54.395,55.186,54.649,54.513,55.159,53.642,52.843,54.246,55.102,54.083,55.293,52.815,53.182,52.261,53.271,53.993,53.668,54.374,54.453,54.148,54.322,54.120,55.987,54.545,53.132
39,0445,53.183,57.988,57.567,59.821,59.525,58.583,58.053,58.843,58.520,59.805,57.802,57.142,57.030,57.904,57.339,57.085,57.900,56.674,56.424,56.610,57.765,56.773,57.886,55.521,55.903,54.786,55.875,56.697,57.066,57.114,57.140,56.647,56.950,56.558,58.344,57.224,55.620
40,0460,92.280,98.201,97.975,102.828,102.220,100.823,99.676,100.694,100.561,104.721,100.093,98.138,97.888,99.389,98.408,98.028,99.298,97.361,96.823,97.179,99.167,97.450,99.130,94.103,94.736,92.493,94.969,96.394,97.206,97.383,97.442,95.881,96.737,97.076,100.787,98.340,95.563
41,0470,34.026,35.078,35.178,37.690,37.372,36.786,36.309,36.714,36.672,38.448,36.702,35.775,35.668,36.269,35.866,35.699,36.448,35.321,34.449,35.482,36.128,35.495,36.148,34.487,34.646,33.915,34.782,35.305,35.194,35.668,35.666,35.191,35.473,35.379,36.867,35.829,34.740
42,0489,61.298,65.958,65.358,70.021,69.453,69.020,68.107,68.101,68.462,69.779,68.508,66.092,65.798,66.906,66.119,66.005,66.690,65.026,64.711,65.149,66.868,64.842,67.012,63.222,63.632,62.153,64.194,64.736,65.032,65.527,65.437,64.544,65.035,65.383,68.272,66.208,64.062
43,0529,47.310,51.553,51.192,54.952,54.517,54.003,53.300,53.482,53.687,54.621,53.578,51.695,51.481,52.269,51.794,51.652,51.907,50.673,50.166,50.992,52.346,50.661,52.503,49.486,49.861,48.742,49.968,50.354,50.741,51.204,51.220,50.591,50.898,51.065,53.265,51.762,49.940
44,0533,58.318,63.374,62.833,67.466,67.025,66.619,65.587,65.651,65.943,67.274,65.601,63.399,63.111,64.285,63.450,63.346,64.020,62.162,61.342,62.445,64.203,61.991,64.454,60.280,60.744,59.176,61.277,61.767,61.920,62.757,62.627,61.689,62.192,62.597,65.477,63.522,61.203
45,0556,47.840,52.179,51.783,55.482,54.943,54.401,53.693,53.780,54.078,54.848,54.035,52.209,51.988,52.779,52.304,52.135,52.440,51.159,50.277,51.429,52.799,51.126,52.912,50.026,50.407,49.293,50.545,50.916,51.265,51.753,51.707,51.083,51.393,51.587,53.690,52.277,50.486
