#ID  #HF #MP2 #CCSD(T)
5073 0.00 0.00 0.00
2468 0.00 0.00 0.00
7167 0.00 0.00 0.00
5386 0.00 0.00 0.00
5277 0.00 0.00 0.00
2003 0.00 0.00 0.00
4405 0.00 0.00 0.00
6213 0.00 0.00 0.00
4474 0.00 0.00 0.00
5960 0.00 0.00 0.00
 179 0.00 0.00 0.00
2803 0.00 0.00 0.00
4959 0.00 0.00 0.00
6265 0.00 0.00 0.00
3452 0.00 0.00 0.00
6690 0.00 0.00 0.00
 820 0.00 0.00 0.00
4086 0.00 0.00 0.00
2539 0.00 0.00 0.00
7019 0.00 0.00 0.00
1102 0.00 0.00 0.00
2982 0.00 0.00 0.00
4986 0.00 0.00 0.00
6856 0.00 0.00 0.00
4415 0.00 0.00 0.00
6268 0.00 0.00 0.00
 409 0.00 0.00 0.00
4726 0.00 0.00 0.00
6533 0.00 0.00 0.00
5097 0.00 0.00 0.00
1989 0.00 0.00 0.00
3016 0.00 0.00 0.00
7153 0.00 0.00 0.00
3757 0.00 0.00 0.00
6897 0.00 0.00 0.00
3134 0.00 0.00 0.00
 679 0.00 0.00 0.00
3103 0.00 0.00 0.00
2607 0.00 0.00 0.00
4154 0.00 0.00 0.00
 790 0.00 0.00 0.00
3039 0.00 0.00 0.00
3794 0.00 0.00 0.00
1471 0.00 0.00 0.00
4627 0.00 0.00 0.00
3922 0.00 0.00 0.00
6894 0.00 0.00 0.00
4366 0.00 0.00 0.00
3421 0.00 0.00 0.00
  73 0.00 0.00 0.00
3391 0.00 0.00 0.00
 764 0.00 0.00 0.00
4233 0.00 0.00 0.00
4066 0.00 0.00 0.00
1538 0.00 0.00 0.00
3801 0.00 0.00 0.00
6048 0.00 0.00 0.00
3618 0.00 0.00 0.00
6169 0.00 0.00 0.00
 745 0.00 0.00 0.00
3736 0.00 0.00 0.00
7079 0.00 0.00 0.00
3803 0.00 0.00 0.00
4687 0.00 0.00 0.00
5372 0.00 0.00 0.00
6432 0.00 0.00 0.00
1397 0.00 0.00 0.00
4968 0.00 0.00 0.00
1104 0.00 0.00 0.00
1049 0.00 0.00 0.00
3655 0.00 0.00 0.00
1355 0.00 0.00 0.00
3050 0.00 0.00 0.00
7174 0.00 0.00 0.00
5749 0.00 0.00 0.00
5802 0.00 0.00 0.00
5503 0.00 0.00 0.00
4913 0.00 0.00 0.00
1681 0.00 0.00 0.00
 950 0.00 0.00 0.00
5524 0.00 0.00 0.00
 707 0.00 0.00 0.00
3429 0.00 0.00 0.00
5299 0.00 0.00 0.00
3838 0.00 0.00 0.00
5589 0.00 0.00 0.00
3653 0.00 0.00 0.00
5474 0.00 0.00 0.00
5718 0.00 0.00 0.00
2268 0.00 0.00 0.00
7060 0.00 0.00 0.00
5761 0.00 0.00 0.00
5618 0.00 0.00 0.00
5972 0.00 0.00 0.00
 296 0.00 0.00 0.00
4315 0.00 0.00 0.00
