"","HF","MP2","SLATM-L2"
"1",1.5,-4.25,-1.3
"2",2.7,-0.0700000000000003,-3.26
"3",-5.01,0.810000000000002,-0.8
"4",-2.6,0.629999999999999,0.08
"5",0.65,-2.01,1.78
"6",-2.04,2.09,-0.29
"7",-1.7,0.279999999999999,0.27
"8",-2.48,0.92,-0.06
"9",-2.84,-0.989999999999998,-3.33
"10",4.57,1.46,-1.53
"11",2.69,0.0500000000000007,0.12
"12",-0.2,0.77,0.36
"13",2.05,1.33,0.21
"14",-3.37,1.73,0.37
"15",4.71,-1.34,0.3
"16",-0.190000000000001,-1.67,-0.26
"17",-0.649999999999999,0.83,-0.53
"18",0.98,-1.79,-0.22
"19",-3.3,4.21,-0.1
"20",-3,-1.75,-0.08
"21",0.44,0.619999999999999,-0.92
"22",-2.56,-0.2,-0.16
"23",0.900000000000002,-2.2,-0.07
"24",-1.87,0.510000000000001,0.5
"25",-3.51,-1.81,-0.83
"26",13.81,-1.52,-13.42
"27",-2.53,-1.33,-0.74
"28",2.03,-0.66,1.02
"29",2.72,3.06,-1.64
"30",-1.74,0.739999999999998,-0.59
"31",10.04,2.24,-8.07
"32",-3.64,1.63,-1.46
"33",-0.379999999999999,-0.00999999999999979,-2.11
"34",2.11,-0.349999999999998,-0.02
"35",-4.24,-1.69,-0.34
"36",-2.19,-3.37,1.92
"37",0.57,3.35,-0.33
"38",0.470000000000002,-0.349999999999998,2.63
"39",0.100000000000001,-0.789999999999999,-0.33
"40",-5.33,1,1.48
"41",-3.15,-0.959999999999997,-0.6
"42",-1.12,-4.34,-1.7
"43",-0.59,-0.460000000000001,-0.78
"44",2.47,2.58,0.1
"45",0.42,0.24,-0.09
"46",1.81,-0.64,0.63
"47",2.28,-0.41,-0.25
"48",-1.72,-1.21,-0.23
"49",-1.54,-1.55,-1.07
"50",-2.28,2.64,0.8
"51",0.790000000000001,-1.27,-0.51
"52",-1.38,-1,-0.89
"53",0.259999999999998,-2.76,0.11
"54",-3.18,-1.85,0.82
"55",4.37,4.44,-0.14
"56",-3.28,1.53,-0.82
"57",6.95,-2.75,6.47
"58",-1.84,0.420000000000002,0.48
"59",5.65,2,-0.44
"60",-2.74,0.16,-0.21
"61",0.309999999999999,0.209999999999997,1.49
"62",-2.64,-1.06,4.83
"63",-1.3,1.04,0.38
"64",2.04,-0.98,-1.72
"65",5.72,4.06,1.85
"66",-2.65000000000001,2.08,-3.15
"67",-4.96,-1.53,1.53
"68",14.91,0.199999999999996,-21.66
"69",-0.46,0.73,-0.07
"70",2.68,4.66,5.41
"71",-3.59,-0.379999999999999,-0.18
"72",4.3,-1.08,6.49
"73",-3.52,-2.34,-1.05
